OBJECTID,HUC_12,pCanopy
578,010300030602,70.357192463141118
579,010300030701,71.889338716951954
580,010300030702,73.793491387529400
581,010300030703,70.961504494249709
582,010300030801,74.751264774609226
583,010300030802,73.192827808993584
584,010300030803,70.841639730933863
585,010300030804,68.966088028837035
586,010300030901,74.177886280784520
587,010300030902,73.671225119623998
588,010300030903,74.468495976651099
589,010300030904,74.119078313699347
590,010300030905,73.054509186524783
591,010300031001,69.673696888216682
592,010300031002,71.823680986017010
593,010300031003,72.192848664376726
594,010300031004,62.326652354054929
595,010300031101,73.645627002379598
596,010300031102,71.051484129563434
597,010300031103,65.782583746382358
598,010300031201,73.046442871382467
599,010300031202,70.167052255215012
600,010300031203,71.505433402015299
601,010300031204,69.870281808853704
602,010300031205,71.684444761768759
603,010300031206,65.343506048847289
604,010300031301,62.114742152466370
605,010300031302,61.636129611416578
606,010300031401,71.756301431996377
607,010300031402,72.578531908113902
608,010300031403,62.731775907883083
609,010300031404,66.195086090710561
610,010300031405,64.600304354503194
611,010300031501,57.290197501623560
612,010300031502,68.692447799804668
613,010300031503,72.537594646944882
614,010300031504,69.798074307784361
615,010300031505,58.639830573502557
616,010300031506,71.893026418282872
617,010300031507,38.727163446488277
618,010300031601,71.591020396404701
619,010300031602,74.413123990014896
620,010300031603,74.202212254052398
621,010300031604,74.695453631637903
622,010300031605,73.104729289199710
623,010300031606,74.407153378234028
624,010300031701,65.670115462357060
625,010300031702,63.834564617097257
626,010300031801,65.609523140669992
627,010300031802,56.236286716984758
628,010300031803,57.214311616100566
629,010300031804,60.089288149461339
630,010300031805,67.407081075707111
631,010300031806,58.535360322526458
632,010300031901,71.050144850881722
633,010300031902,65.686365619546251
634,010300031903,60.945900865460267
635,010300031904,64.164889240119606
636,010300032001,70.007440770804465
637,010300032002,68.272295960947062
638,010300032003,64.541340127200385
639,010300032004,65.344237265093128
640,010300032005,71.740125763644912
641,010300032101,66.606148008760840
642,010300032102,53.497124579994832
643,010300032103,69.907618117979581
644,010300032104,63.346806443880965
645,010300032105,63.233336784346207
646,010300032106,62.060463179474041
647,010300032201,70.169529222785130
648,010300032202,70.804899645808732
649,010300032203,72.890302392753981
650,010300032204,66.485192728369924
651,010300032205,55.166209465853690
