OBJECTID,HUC_12,PIMPV
317,010200020406,0.216590741353422
318,010200020407,0.312067471676592
319,010200020408,0.113869419805148
320,010200020501,0.152676180197466
321,010200020502,0.004521061530545
322,010200020503,0.371639706738043
323,010200020504,0.202551234718016
324,010200020505,0.145394109853327
325,010200020506,0.202773648020814
326,010200020507,0.462516432473489
327,010200030101,0.109015471167370
328,010200030102,0.231292821638082
329,010200030103,0.339475728811269
330,010200030104,0.231624744287896
331,010200030105,0.289171871009681
332,010200030106,0.647808729463795
333,010200030107,0.783703567361119
334,010200030108,0.257462960695482
335,010200030109,0.432049281010741
336,010200030110,0.808291719255885
337,010200030111,0.602204122851310
338,010200030112,0.092804865477786
339,010200030113,0.099079300068262
340,010200030201,0.225365309897495
341,010200030202,1.942934597517950
342,010200030203,0.468088394374903
343,010200030204,0.205816449277071
344,010200030205,0.129210142815506
345,010200030301,0.137205767876339
346,010200030302,0.097980355369165
347,010200030303,0.347624269005848
348,010200030401,0.280205074192249
349,010200030402,0.243815534968950
350,010200030403,0.255361862167107
351,010200030404,0.547569810414526
352,010200030501,0.113370259906263
353,010200030502,0.135070009208341
354,010200030503,0.522924753077255
355,010200030504,0.190861312378814
356,010200030505,0.089038970956733
357,010200030506,0.440494296577947
358,010200030507,0.119978575254419
359,010200030508,0.189542922343781
360,010200030509,0.393657395373018
361,010200030510,0.115105066955453
362,010200030511,0.203389721901833
363,010200030601,1.381807696874100
364,010200030602,0.791805164919458
365,010200030603,0.810125355075766
366,010200030604,0.294262173553894
367,010200030605,0.398612885563059
368,010200030606,0.152841749772209
369,010200030607,0.347116015776216
370,010200030701,1.198609104046240
371,010200030702,0.394247997199168
372,010200030703,0.636561079925154
373,010200030704,0.399008203022700
374,010200040101,0.249307348403753
375,010200040102,0.202576080046436
376,010200040103,0.323675710903881
377,010200040104,0.754507382867030
378,010200040105,0.418263160356035
379,010200040106,0.620602660100511
380,010200040107,0.519808617148199
381,010200040108,0.736486486486487
382,010200040109,0.238845919874859
383,010200040110,0.431295982485870
384,010200040111,1.124566959849170
385,010200040201,0.877618343195266
386,010200040202,1.080599069689830
387,010200040203,2.826514096861450
388,010200040204,0.728967499224975
389,010200040205,1.459687001883780
390,010200040301,0.230608253715168
391,010200040302,0.549408211071384
392,010200040303,0.243780354841907
393,010200040304,1.065688604563890
394,010200040305,0.561845825869395
395,010200040306,0.305137967578600
396,010200040307,0.220253776070170
397,010200040308,0.210871213747121
398,010200040309,0.090982031629400
399,010200040310,0.264184071033226
400,010200040311,0.407311567859478
401,010200040312,1.701549570812440
402,010200040401,0.082008651691249
403,010200040402,0.166510269194050
404,010200040403,0.118610900931458
405,010200040404,0.167741638962511
406,010200040405,0.231272273044564
407,010200040406,0.245688505644946
408,010200040407,0.206764624341558
409,010200040408,0.246425589647255
410,010200040409,0.205298886179398
411,010200040410,1.445798588839000
412,010200040501,0.276707889689835
413,010200040502,0.193657891134736
414,010200040503,0.120601993085215
415,010200040504,0.329627061562082
416,010200040601,0.540481014888556
417,010200040602,0.402632956238174
418,010200040603,0.396680662873612
419,010200040604,0.896050495700353
420,010200050101,0.770660094823858
421,010200050102,0.813988414503325
422,010200050103,0.143674950062374
423,010200050104,1.111943416959440
424,010200050201,1.206564969154900
425,010200050202,0.989000749948867
426,010200050203,0.366702027521702
427,010200050204,0.722444030600624
428,010200050205,1.928264022635950
429,010200050206,0.185950487567918
430,010200050207,0.667152994230387
431,010200050208,2.517983596719340
432,010200050301,0.246675225492132
433,010200050302,0.029244959331544
434,010200050303,0.088261778546875
435,010200050304,0.026070492280804
436,010200050305,0.189173869052698
437,010200050306,0.297369099999303
438,010200050307,0.312392836044551
439,010200050308,0.586089314325623
440,010200050309,0.201762830798194
441,010200050310,0.865807930323172
442,010200050311,0.365868714725500
443,010200050401,1.700382184886670
444,010200050402,0.422492913804622
445,010200050403,0.493106799611245
446,010200050404,0.746554288547348
447,010200050405,0.599433706758587
448,010200050406,0.441141187326976
449,010200050407,0.273021418271767
450,010200050408,1.448277330970560
451,010200050501,0.578719554787070
452,010200050502,1.373871863532680
453,010200050503,0.493809196980096
454,010200050504,0.518448646144776
455,010200050505,1.004447725553460
456,010200050506,1.029433962264150
457,010200050507,1.690820792613470
458,010200050508,0.315318597684398
459,010200050509,1.318049378929610
460,010200050510,9.575110609614869
461,010200050601,0.264574202365804
462,010200050602,1.036701744953710
463,010200050603,7.549136069114470
464,010200050701,1.281082219180970
465,010200050702,2.022053273935530
466,010200050703,1.115995255458420
467,010200050704,1.678044893080090
468,010200050705,2.694425548673520
469,010200050706,1.779930114209330
470,010200050707,10.879646645388000
471,010200050801,1.103237243067570
472,010200050802,1.435172993638660
473,010200050803,1.227053441983700
474,010200050804,2.288904694167850
475,010200050805,9.362268121971510
476,010200050901,0.962430741396856
477,010200050902,0.683687331191766
478,010200050903,1.064178881852820
479,010200050904,1.553443616504030
480,010200050905,1.114705832870670
481,010200050906,2.505910082319000
482,010200051001,2.323608727629320
483,010200051002,1.863367360619000
484,010200051003,19.428001556723100
485,010200051004,1.245255676672100
486,010200051005,0.990582456368634
487,010200051006,1.109718305328290
488,010200051007,3.112352282803030
489,010200051008,2.248314567695300
490,010200051009,2.735333953728360
491,010300010101,0.144593689180997
492,010300010102,0.266573908953732
493,010300010201,0.190705493004605
494,010300010202,0.143323966785590
495,010300010203,0.336697111334996
496,010300010204,0.123784652093451
497,010300010205,0.143108116820321
498,010300010206,0.536989058917821
499,010300010301,0.350561007673729
500,010300010302,0.806300369059275
501,010300010303,0.487492219437108
502,010300010304,0.645428228895582
503,010300010305,0.398409542743539
504,010300010306,0.557881392017961
505,010300010307,1.111816681636830
506,010300010308,0.697966528073792
507,010300010309,1.442134108713610
508,010300010310,0.617418261360838
509,010300010401,0.301640352962564
510,010300010402,0.391644311352341
511,010300010403,0.476170358529345
512,010300010404,0.644870130739071
513,010300010501,0.135653726015172
514,010300010502,0.327765620115225
515,010300010503,0.578587428978326
516,010300010504,0.307668521954236
517,010300010505,0.320174119509300
518,010300010506,0.431795898357709
519,010300010507,0.597198172449043
520,010300010508,0.337568341577714
521,010300010509,0.042676701379773
522,010300010510,0.753063548248481
523,010300010601,0.497848391062874
524,010300010602,0.122944855031268
525,010300010603,0.357118757110911
526,010300010604,0.490459494371655
527,010300010605,0.247748155934538
528,010300010606,0.225792392067605
529,010300010607,0.340073044918860
530,010300010608,0.395112389396743
531,010300010609,0.751321421499185
532,010300010610,0.532531211591953
533,010300020101,0.508473900784122
534,010300020102,0.294848104072733
535,010300020103,1.058186064616580
536,010300020104,0.175279604148309
537,010300020105,0.862676164924291
538,010300020106,0.656555246885922
539,010300020201,0.253088582171466
540,010300020202,0.404841332244250
541,010300020203,0.103702948077119
542,010300020204,0.212026367290994
543,010300020301,0.632170338357753
544,010300020302,0.352040877812459
545,010300020303,0.788265763833090
546,010300020304,0.323414553654914
547,010300020401,0.348602933137583
548,010300020402,0.267723367592604
